"Time","Temp","TName","InitialT","Trial"
0,64.4,"T1",64.4,"T1 (56.5°C)"
2.5,62.9,"T1",64.4,"T1 (56.5°C)"
5,61.9,"T1",64.4,"T1 (56.5°C)"
7.5,61,"T1",64.4,"T1 (56.5°C)"
10,60.2,"T1",64.4,"T1 (56.5°C)"
12.5,59.5,"T1",64.4,"T1 (56.5°C)"
15,58.8,"T1",64.4,"T1 (56.5°C)"
17.5,58.2,"T1",64.4,"T1 (56.5°C)"
20,57.6,"T1",64.4,"T1 (56.5°C)"
22.5,57,"T1",64.4,"T1 (56.5°C)"
25,56.5,"T1",64.4,"T1 (56.5°C)"
0,69,"T2",69.1,"T2 (59.3°C)"
2.5,67.5,"T2",69.1,"T2 (59.3°C)"
5,66.2,"T2",69.1,"T2 (59.3°C)"
7.5,65,"T2",69.1,"T2 (59.3°C)"
10,64,"T2",69.1,"T2 (59.3°C)"
12.5,63.1,"T2",69.1,"T2 (59.3°C)"
15,62.2,"T2",69.1,"T2 (59.3°C)"
17.5,61.4,"T2",69.1,"T2 (59.3°C)"
20,60.7,"T2",69.1,"T2 (59.3°C)"
22.5,60,"T2",69.1,"T2 (59.3°C)"
25,59.3,"T2",69.1,"T2 (59.3°C)"
0,67.1,"T3",67.1,"T3 (58.2°C)"
2.5,65.6,"T3",67.1,"T3 (58.2°C)"
5,64.5,"T3",67.1,"T3 (58.2°C)"
7.5,63.4,"T3",67.1,"T3 (58.2°C)"
10,62.5,"T3",67.1,"T3 (58.2°C)"
12.5,61.7,"T3",67.1,"T3 (58.2°C)"
15,60.9,"T3",67.1,"T3 (58.2°C)"
17.5,60.2,"T3",67.1,"T3 (58.2°C)"
20,59.5,"T3",67.1,"T3 (58.2°C)"
22.5,58.9,"T3",67.1,"T3 (58.2°C)"
25,58.2,"T3",67.1,"T3 (58.2°C)"
0,66.1,"T4",66.2,"T4 (58°C)"
2.5,64.9,"T4",66.2,"T4 (58°C)"
5,63.8,"T4",66.2,"T4 (58°C)"
7.5,62.9,"T4",66.2,"T4 (58°C)"
10,62,"T4",66.2,"T4 (58°C)"
12.5,61.3,"T4",66.2,"T4 (58°C)"
15,60.5,"T4",66.2,"T4 (58°C)"
17.5,59.9,"T4",66.2,"T4 (58°C)"
20,59.2,"T4",66.2,"T4 (58°C)"
22.5,58.6,"T4",66.2,"T4 (58°C)"
25,58.1,"T4",66.2,"T4 (58°C)"
0,72.3,"T5",72.3,"T5 (61.7°C)"
2.5,70.3,"T5",72.3,"T5 (61.7°C)"
5,68.9,"T5",72.3,"T5 (61.7°C)"
7.5,67.7,"T5",72.3,"T5 (61.7°C)"
10,66.6,"T5",72.3,"T5 (61.7°C)"
12.5,65.7,"T5",72.3,"T5 (61.7°C)"
15,64.8,"T5",72.3,"T5 (61.7°C)"
17.5,64,"T5",72.3,"T5 (61.7°C)"
20,63.2,"T5",72.3,"T5 (61.7°C)"
22.5,62.4,"T5",72.3,"T5 (61.7°C)"
25,61.7,"T5",72.3,"T5 (61.7°C)"
0,72.9,"T6",72.9,"T6 (61.8°C)"
2.5,70.9,"T6",72.9,"T6 (61.8°C)"
5,69.4,"T6",72.9,"T6 (61.8°C)"
7.5,68.2,"T6",72.9,"T6 (61.8°C)"
10,67,"T6",72.9,"T6 (61.8°C)"
12.5,66,"T6",72.9,"T6 (61.8°C)"
15,65.1,"T6",72.9,"T6 (61.8°C)"
17.5,64.2,"T6",72.9,"T6 (61.8°C)"
20,63.4,"T6",72.9,"T6 (61.8°C)"
22.5,62.6,"T6",72.9,"T6 (61.8°C)"
25,61.8,"T6",72.9,"T6 (61.8°C)"
0,72.4,"T7",72.4,"T7 (62.9°C)"
2.5,70.6,"T7",72.4,"T7 (62.9°C)"
5,69.4,"T7",72.4,"T7 (62.9°C)"
7.5,68.4,"T7",72.4,"T7 (62.9°C)"
10,67.5,"T7",72.4,"T7 (62.9°C)"
12.5,66.6,"T7",72.4,"T7 (62.9°C)"
15,65.8,"T7",72.4,"T7 (62.9°C)"
17.5,65,"T7",72.4,"T7 (62.9°C)"
20,64.3,"T7",72.4,"T7 (62.9°C)"
22.5,63.6,"T7",72.4,"T7 (62.9°C)"
25,62.9,"T7",72.4,"T7 (62.9°C)"
